fold,model,dimension,value,rows,mean_prediction,positive_prediction_fraction,mae,rmse,r2,smape_pct
fold_2,hist_gradient_boosting_poisson,weekend,1,56330,19.684850853168214,1.0,3.8963148368000837,11.406914498197633,0.9556408523607095,100.23658894811079
fold_2,hist_gradient_boosting_absolute,weekend,1,56330,19.193539604350057,0.9835789099946742,4.207324030435747,14.238434606670998,0.930885159510187,103.21754090666617
fold_2,previous_hour,rush_hour,0,160082,19.420778101223124,0.6018040754113517,5.364556914581277,16.471699027565794,0.9084166790507339,62.530351628952836
fold_2,previous_day_24h,rush_hour,0,160082,19.21249734511063,0.6093377144213591,6.93261578441049,25.612450975198755,0.7785672409030067,64.75286986306129
fold_2,previous_week_168h,rush_hour,0,160082,18.341499981259606,0.6060144176109744,5.095725940455517,16.889144823033895,0.9037158256262242,61.892802301366984
fold_2,zone_hour_average,rush_hour,0,160082,18.786907026414024,0.9503754325907973,6.630375200781889,22.645255000595295,0.8269012139313351,100.82069055750746
fold_2,rolling_mean_24h,rush_hour,0,160082,20.51587519729472,0.9198848090353694,12.42543821291588,36.42416788933869,0.5521641368203192,102.29220161728931
fold_2,linear_regression,rush_hour,0,160082,18.656119717682643,0.717869591834185,4.14250776298171,12.17218881208986,0.9499876856737222,73.77290975299549
fold_2,ridge,rush_hour,0,160082,18.67044545484629,0.7271898152196999,4.1487240018752995,12.17853144076258,0.9499355517167514,74.73137857268303
fold_2,hist_gradient_boosting,rush_hour,0,160082,18.58256299655794,0.9999000512237478,3.625497038061207,10.5585632310562,0.9623686982841259,106.16137314937808
fold_2,hist_gradient_boosting_poisson,rush_hour,0,160082,18.59421153554627,1.0,3.6597239110274478,11.344191045488035,0.9565603162561203,105.35411502401718
fold_2,hist_gradient_boosting_absolute,rush_hour,0,160082,17.898538030860283,0.978492272710236,3.9327520318214937,13.477113391310574,0.9386897120319382,107.92893749478253
fold_2,previous_hour,rush_hour,1,34584,24.36534235484617,0.7382026370575989,7.341458477908859,18.93829464771776,0.9232716074329241,61.011588446835766
fold_2,previous_day_24h,rush_hour,1,34584,25.831598427018275,0.7092297015961138,7.553724265556327,21.683804322166957,0.8994121974422389,61.53358289662915
fold_2,previous_week_168h,rush_hour,1,34584,26.661953504510755,0.7301931529030765,7.516047883414296,21.892388829046197,0.8974677075231309,60.89554787193694
fold_2,zone_hour_average,rush_hour,1,34584,24.640431956834973,0.9541984732824428,6.86517966383229,19.645527040560573,0.9174339077705943,76.20155852006745
fold_2,rolling_mean_24h,rush_hour,1,34584,19.47025117588095,0.9190955355077493,12.45537676382142,35.72510614959709,0.7269630540966636,83.9803601183435
fold_2,linear_regression,rush_hour,1,34584,27.361627813594612,1.0,6.296120112179324,15.02388634881062,0.9517120308176849,86.8824997660902
fold_2,ridge,rush_hour,1,34584,27.39047087957394,1.0,6.319359748708762,15.03289729226577,0.9516540896649442,87.06502802668503
fold_2,hist_gradient_boosting,rush_hour,1,34584,27.345527117924266,1.0,4.9329785881207515,12.453068961174097,0.9668237612406058,83.81437881075622
fold_2,hist_gradient_boosting_poisson,rush_hour,1,34584,27.544059660584814,1.0,5.021131576913912,13.117322929341208,0.9631900877272797,83.1936738161276
fold_2,hist_gradient_boosting_absolute,rush_hour,1,34584,26.10117154810016,0.9977735368956743,5.569948478342803,16.03462154767414,0.9449963145461421,87.7859181950607
fold_2,previous_hour,zone_cohort,dense,127053,30.902395063477446,0.8353679173258404,8.522561450733159,20.950662646378177,0.9066424510884787,67.354985842539
fold_2,previous_day_24h,zone_cohort,dense,127053,31.039424492141077,0.8370286415905174,10.550990531510472,30.884566974755675,0.7971210696508491,70.10670020639206
fold_2,previous_week_168h,zone_cohort,dense,127053,30.16125553902702,0.8360998953192762,8.226779375536193,22.116019371262965,0.8959677870925111,66.68058029729734
fold_2,zone_hour_average,zone_cohort,dense,127053,30.178713389602425,0.9997560073355214,10.011453810329984,27.40007961478138,0.8403174119728316,71.69310633494331
fold_2,rolling_mean_24h,zone_cohort,dense,127053,30.949539758998213,1.0,18.80489539798352,44.928312977754395,0.5706671333021487,83.97024638999436
fold_2,linear_regression,zone_cohort,dense,127053,30.557308273917055,0.8841821916837855,6.5682270058406385,15.728489674244413,0.9473827730008694,64.78735062829551
fold_2,ridge,zone_cohort,dense,127053,30.57110846015964,0.8880860743154432,6.573968766992263,15.736383489571594,0.9473299446734618,64.9074436719321
fold_2,hist_gradient_boosting,zone_cohort,dense,127053,30.60642130138734,0.9998740683022046,5.657842666005526,13.502699243142551,0.9612211342629572,65.85992377379644
fold_2,hist_gradient_boosting_poisson,zone_cohort,dense,127053,30.712275391000546,1.0,5.764027961664403,14.445203152480286,0.9556185771634211,64.66817458044285
fold_2,hist_gradient_boosting_absolute,zone_cohort,dense,127053,29.531382049459815,0.9909801421454039,6.292710017409878,17.275885757352288,0.9365203446418816,67.25486366797416
fold_2,previous_hour,zone_cohort,sparse,67613,0.3745729371570556,0.2326771478857616,0.44146835667697043,1.0131506298417632,-0.02956878130138252,52.68743448832755
fold_2,previous_day_24h,zone_cohort,sparse,67613,0.37393696478487864,0.23257361749959327,0.450948782038957,1.1149325345813963,-0.246822139256496,53.04571255517235
fold_2,previous_week_168h,zone_cohort,sparse,67613,0.3866564122284176,0.23717332465650096,0.45009095883927647,1.1769607329611276,-0.3894127351366292,52.38589379406296
fold_2,zone_hour_average,zone_cohort,sparse,67613,0.3743995549440749,0.8595388460798958,0.39702210257918963,0.876798897848608,0.22890600978313536,142.96227421518597
fold_2,rolling_mean_24h,zone_cohort,sparse,67613,0.37492235221037373,0.7689349681274311,0.4529805658675107,0.9397987300536832,0.11411563776519473,127.35487671074706
fold_2,linear_regression,zone_cohort,sparse,67613,0.7452088329972878,0.5496576102228862,0.685859226778533,1.1743493362483837,-0.3832540204566799,97.36340720886011
fold_2,ridge,zone_cohort,sparse,67613,0.767947746930712,0.5643885051691243,0.7016745221315068,1.1901983614755058,-0.42084277737521325,99.5003924259703
fold_2,hist_gradient_boosting,zone_cohort,sparse,67613,0.4705295410071352,1.0,0.4752497906391114,0.8162007908707395,0.3318078789480542,170.4621968860689
fold_2,hist_gradient_boosting_poisson,zone_cohort,sparse,67613,0.400745493946281,1.0,0.40184125786075453,0.772544320587641,0.40137598406544384,170.47286574420107
fold_2,hist_gradient_boosting_absolute,zone_cohort,sparse,67613,0.23465899081026687,0.9648884090337657,0.3355304910457846,0.8444015171323085,0.2848365056241595,174.0572992366947
fold_2,previous_hour,target_cohort,positive,121824,32.175655043341216,0.8495124113475178,8.872348634095088,21.391921855207674,0.9056078603458675,69.31810254392728
fold_2,previous_day_24h,target_cohort,positive,121824,32.27111242448122,0.8484781323877069,10.946004071447334,31.509455627354626,0.795205624900799,71.84500873650184
fold_2,previous_week_168h,target_cohort,positive,121824,31.40363146834778,0.8507108615707907,8.562877593905963,22.58399958016819,0.8947946227744429,68.03532313510061
fold_2,zone_hour_average,target_cohort,positive,121824,31.332661912425113,0.9994992776464408,10.312327224579958,27.971223640450155,0.8386164907028926,50.07168116040289
fold_2,rolling_mean_24h,target_cohort,positive,121824,31.84852430555556,0.9979478592067245,19.225923258142895,45.72016999407372,0.5688266632289078,63.90954979012096
fold_2,linear_regression,target_cohort,positive,121824,31.89432682597802,0.9205000656685054,6.842633011309473,16.057482330836816,0.9468147592605214,60.266115962285674
fold_2,ridge,target_cohort,positive,121824,31.909190347178793,0.9238327423167849,6.845249572090603,16.065261439040924,0.9467632151950836,59.794502511386256
fold_2,hist_gradient_boosting,target_cohort,positive,121824,31.844242080567405,0.9999014972419228,5.827425926748793,13.785604762734499,0.9607998372819754,43.71520729322576
fold_2,hist_gradient_boosting_poisson,target_cohort,positive,121824,31.952731765461255,1.0,5.934249424100804,14.74836283758507,0.9551333286146884,42.47165957883236
fold_2,hist_gradient_boosting_absolute,target_cohort,positive,121824,30.738296752785843,0.9937614919884423,6.558145280640642,17.645181405032112,0.935777311970105,51.68988349502363
fold_2,previous_hour,target_cohort,zero,72842,0.4365750528541226,0.25228576919908846,0.4365750528541226,1.101647291012821,,50.457153839817686
fold_2,previous_day_24h,target_cohort,zero,72842,0.5153482880755608,0.2568161225666511,0.5153482880755608,2.1022730333776622,,51.36322451333022
fold_2,previous_week_168h,target_cohort,zero,72842,0.44623980670492297,0.2557315834271437,0.44623980670492297,1.1882997228372696,,51.14631668542874
fold_2,zone_hour_average,target_cohort,zero,72842,0.5840057189301948,0.8700337717251037,0.5840057189301948,1.3102059304452498,,174.00675434502074
fold_2,rolling_mean_24h,target_cohort,zero,72842,1.0662375415282392,0.7889541747892699,1.0662375415282392,5.066928237638765,,157.79083495785397
fold_2,linear_regression,target_cohort,zero,72842,0.6491999355245962,0.5129320996128607,0.6491999355245962,1.2447780038246175,,102.58641992257215
fold_2,ridge,target_cohort,zero,72842,0.6695188125968535,0.5278410806952033,0.6695188125968535,1.2647391261706298,,105.56821613904066
fold_2,hist_gradient_boosting,target_cohort,zero,72842,0.5636667340028724,0.9999450866258477,0.5636667340028724,0.8917581703496141,,199.98901732516956
fold_2,hist_gradient_boosting_poisson,target_cohort,zero,72842,0.5020830803579025,1.0,0.5020830803579025,0.855215509988442,,200.0
fold_2,hist_gradient_boosting_absolute,target_cohort,zero,72842,0.31924464271011416,0.9621097718349304,0.31924464271011416,0.7200848264839931,,192.42195436698609
