dimension,value,rows,mae,rmse,r2,smape_pct
zone_id,224,720,3.5264329375388557,4.823806189769774,0.7168139815877516,34.836279111333724
zone_id,225,720,2.42048082300635,3.267135575675337,0.5984298099154247,50.53021260662351
zone_id,226,720,2.891328168058053,4.639648017921439,0.3927215293006815,38.32107250785936
zone_id,227,720,0.793195555525259,1.073294870228754,0.22444540546320624,122.96794213202554
zone_id,228,720,1.4218713444830036,2.035941962929291,0.07554643748588385,81.91803672157653
zone_id,229,720,10.032106051718177,13.444043319104434,0.9281083329652204,17.681538503152016
zone_id,230,720,20.50612328087081,33.329107981533575,0.9261741974988917,15.899190882395205
zone_id,231,720,10.676576384156771,15.403714857046454,0.9044707567857418,22.439292048388566
zone_id,232,720,4.313145427039948,5.67422356015258,0.6574730579251606,32.588209914629644
zone_id,233,720,8.258618314657701,11.533568783712768,0.8979712088737031,22.90251957732656
zone_id,234,720,14.828989653313192,21.262843095048733,0.9545697505617812,16.807316894657653
zone_id,235,720,1.217047667110943,1.755276543452885,0.411100826431091,103.43145129695226
zone_id,236,720,23.034177180497974,36.07603525377262,0.9569556158891647,21.999378991251287
zone_id,237,720,24.687629555028252,37.26166470295897,0.9610370050095587,17.844039953008156
zone_id,238,720,12.849791758503345,18.07863379329459,0.9296006963867307,21.335018480284923
