zone_id,neighbor_id,shared_boundary_m,overlap_m2,qualifies
149,210,2351.2169511509287,0.0,True
149,165,1392.4255333282192,0.0,True
149,154,957.8442316740641,0.0,True
149,155,1477.088639141826,0.0,True
150,210,1463.1829873140925,0.01695130948646915,True
150,154,539.9695485332257,0.0,True
151,238,785.6241861883528,5.705366042554202e-05,True
152,166,1052.2022461724298,0.006661247905970885,True
153,220,1211.6985756717336,0.0,True
154,210,2172.0318846198584,0.008899450419281784,True
154,155,1973.2503293369425,0.012541252842539959,True
156,187,2451.756958817916,0.016933072237516025,True
157,198,2547.5060987623833,0.006459754850942876,True
157,226,1578.8754465125662,0.00272716439498073,True
157,260,559.8366212098995,0.0,True
157,160,4016.1479489716735,0.0,True
158,249,1204.8073744770077,0.006173015321525459,True
158,246,55.99624424232657,0.0,True
159,168,2274.077723999977,0.0067548855380897875,True
159,167,1497.3065289047556,8.64934757093912e-05,True
160,198,2940.7373976595172,6.737653349917044e-06,True
160,196,2408.340408933308,0.0,True
161,170,243.26134073036653,0.0,True
161,164,311.8732209520158,0.0,True
161,162,780.5832042892295,0.0,True
161,230,483.34274512767826,0.01053068187477123,True
161,163,780.3537181356133,0.0,True
162,233,397.4189567022893,0.004439901849759396,True
162,229,811.895871312878,0.0,True
162,237,310.9270108370167,0.0,True
162,170,378.38303399259297,0.0,True
162,163,251.0762182688435,0.0,True
163,237,310.90799332470516,0.0,True
163,230,548.4856087397538,0.0,True
164,234,178.57067075411277,0.029047871053256707,True
164,170,1099.4051229539098,0.0,True
164,186,476.6363650636542,0.0,True
164,230,0.0,0.0,False
165,178,2092.913063120306,0.0,True
168,247,855.2319413700849,0.0,True
169,247,233.7334235002843,0.0032817257334805056,True
169,235,1291.083530662961,0.0,True
170,234,0.0,0.0,False
170,233,658.3991476812622,0.010706364265172873,True
171,252,1952.9993674184304,0.0,True
172,176,2904.6671853705234,0.014444149324141922,True
172,214,2285.4595557161965,0.00842789027537108,True
174,240,1402.2658609025946,0.03863801026990419,True
174,241,428.82754225796486,0.009101809426971672,True
175,191,1106.6002071444818,0.0,True
177,225,1423.450810813273,0.0,True
179,193,46.746241240080934,0.012727791804358584,True
179,223,762.0114136986795,0.0,True
180,216,1433.0813775022796,0.0,True
180,258,2387.9718232786695,0.0,True
180,197,260.9309035652499,0.0,True
181,257,550.422302069947,0.001023326319138665,True
181,228,1075.3920421107644,0.017377745562896497,True
181,190,1383.2474082465906,0.008515062530791474,True
181,189,1536.5007817656822,4.224721875504616e-07,True
182,212,236.9653045278127,0.0,True
182,250,1489.9093370455257,0.007351662491291652,True
182,248,914.6341077550585,0.0,True
182,242,953.0430108902713,0.0,True
183,208,220.8438474435064,0.004840823441321653,True
183,184,1074.2217302679999,0.002983158510475317,True
183,242,1298.5607300621407,0.008231282101062689,True
184,208,0.0,0.0,False
184,242,775.4224008919605,7.84174407995362e-05,True
185,242,3954.1400925160615,0.0020728785977989737,True
186,234,0.0,0.0042243072424895875,False
187,251,1795.2852965470604,0.035782833060585495,True
187,206,988.8895652365208,0.00475933579398949,True
188,190,421.7981691973736,0.0,True
189,190,348.1374399266264,0.0,True
190,257,1004.9289006453661,0.003183366510458645,True
191,205,1421.1892805121863,0.0,True
195,228,28.352187074814974,0.0,True
197,216,3497.6472977342587,0.0,True
197,258,1170.2631147981062,0.03735307803765065,True
197,215,0.0,0.0,False
200,240,1812.8101234002074,0.0027806042052277297,True
200,220,1828.9225910788198,0.016520563711027243,True
203,219,2178.3152860424084,0.06475777242997047,True
205,218,1623.8307915951268,0.0,True
205,215,988.5934300997552,0.0,True
206,251,1422.881731817813,0.00869627491652631,True
206,221,696.1699350443158,0.008007408644526858,True
206,245,4253.525945315021,0.0017049926539028958,True
207,260,364.9481190258672,0.02240246791687034,True
207,223,738.5707773707107,0.0,True
208,213,1730.1217226790534,0.003607349076848952,True
208,250,272.37181827893477,0.0,True
208,242,334.7798524890587,0.005246588224561408,True
209,261,68.36876829743574,0.0,True
209,231,196.7912121959106,0.0,True
211,231,395.6393386269809,0.0,True
212,213,1765.0971657584946,0.0,True
212,250,788.9771553643099,0.004470547789615817,True
212,248,1475.2288273163238,0.0,True
213,250,1414.9515253160362,0.007866768226425194,True
215,216,875.8755438903343,0.002995698070430997,True
216,219,171.97035990718075,0.0,True
217,256,1489.2820651632867,0.0,True
218,219,1246.1520660602987,0.012402285999850897,True
220,240,605.4366614882723,0.0,True
220,241,1450.1528109936032,0.009321802087526638,True
221,245,265.602384223444,0.0,True
226,260,2883.2964653130184,0.03729701971748142,True
227,228,1883.0377362495026,0.01397107748984084,True
228,257,160.18764192221718,0.0,True
229,233,658.9681213727052,0.0009784346330209282,True
229,237,0.0,0.0,False
231,261,504.78223294608074,0.0,True
234,249,0.0,0.0,False
235,247,33.30309369411564,0.0,True
236,237,620.9111367287996,0.0,True
236,263,1385.4689309197065,0.0,True
238,239,1208.0635925204597,0.0,True
240,254,1227.4477658765763,0.03042775673600278,True
240,259,2104.4449446400004,0.013098374873457467,True
240,241,273.8209584199533,0.001033629181624048,True
242,250,1327.767195117126,0.0015048498672523166,True
242,248,657.9112155019448,0.003829999322981956,True
243,244,1145.733374346396,0.007466075802869474,True
245,251,767.3114654557147,0.015343846220562625,True
254,259,1827.2859730313178,0.0,True
255,256,1343.1059451871113,0.0,True
262,263,1385.3412019162672,0.0,True
